time_ms,temp_c,humidity,gas_raw,bvoc,iaq,label
20000,20.79,21.46,13.20,0.50,50.00,3
40000,20.46,22.29,10.96,0.50,50.00,3
60000,20.42,22.51,10.95,0.50,50.00,3
80000,20.40,22.55,10.96,0.50,50.00,3
100000,20.41,22.51,10.97,0.50,49.46,3
120000,20.40,22.47,10.97,0.50,50.00,3
140000,20.40,22.42,10.94,0.63,74.06,3
160000,20.40,22.38,10.93,0.71,85.48,3
180000,20.40,22.39,10.95,0.64,75.21,3
200000,20.39,22.45,10.98,0.52,53.30,3
220000,20.40,22.48,11.00,0.46,42.15,3
240000,20.39,22.48,11.01,0.45,40.00,3
260000,20.40,22.71,11.01,0.46,41.10,3
280000,20.40,22.84,11.02,0.48,45.08,3
300000,20.40,22.78,11.03,0.47,44.73,3
320000,20.41,22.63,11.03,0.47,44.05,3
340000,20.41,22.49,11.04,0.47,44.40,3
360000,20.41,22.42,11.05,0.47,44.01,3
380000,20.41,22.41,11.06,0.48,46.83,3
400000,20.42,22.37,11.06,0.50,50.00,3
420000,20.42,22.32,11.07,0.50,49.62,3
440000,20.42,22.27,11.08,0.50,50.00,3
460000,20.43,22.18,11.09,0.50,50.00,3
480000,20.43,22.17,11.09,0.50,50.00,3
500000,20.43,22.16,11.10,0.50,50.00,3
520000,20.44,22.18,11.10,0.50,50.07,3
540000,20.45,22.25,11.10,0.50,50.26,3
560000,20.44,22.22,11.11,0.50,50.00,3
580000,20.45,22.17,11.11,0.50,50.00,3
600000,20.45,22.14,11.12,0.50,50.00,3
620000,20.45,22.12,11.12,0.50,50.00,3
640000,20.45,22.12,11.13,0.50,50.00,3
