time_ms,temp_c,humidity,gas_raw,bvoc,label
20000,21.65,23.08,12.68,0.50,2
40000,21.33,24.15,10.84,0.50,2
60000,21.23,26.41,10.67,0.50,2
80000,21.06,29.37,10.58,0.50,2
100000,20.79,40.19,8.65,0.50,2
120000,20.77,32.31,8.65,0.50,2
140000,20.81,28.00,8.71,0.50,2
160000,20.86,26.95,9.01,0.16,2
180000,20.91,26.51,9.17,0.16,2
200000,20.96,26.19,9.28,0.16,2
220000,21.00,26.46,9.22,0.16,2
240000,21.04,26.05,9.34,0.16,2
260000,21.06,25.47,9.54,0.16,2
280000,21.07,25.34,9.58,0.16,2
300000,21.05,25.48,9.58,0.16,2
320000,21.04,25.82,9.51,0.16,2
340000,21.03,25.56,9.55,0.16,2
360000,21.01,25.30,9.62,0.16,2
380000,21.00,25.42,9.59,0.16,2
400000,20.98,25.48,9.55,0.16,2
420000,20.97,25.23,9.65,0.16,2
440000,20.94,25.13,9.70,0.16,2
460000,20.93,25.23,9.69,0.16,2
480000,20.92,25.31,9.68,0.16,2
500000,20.89,25.22,9.70,0.16,2
520000,20.88,25.12,9.71,0.16,2
540000,20.86,25.07,9.73,0.16,2
560000,20.85,25.24,9.72,0.16,2
580000,20.83,25.09,9.72,0.16,2
600000,20.83,25.02,9.77,0.16,2
620000,20.82,24.98,9.79,0.16,2
640000,20.82,25.01,9.79,0.16,2
660000,20.80,24.97,9.80,0.16,2
680000,20.79,24.91,9.82,0.16,2
700000,20.79,25.00,9.80,0.16,2
720000,20.79,24.88,9.80,0.16,2
740000,20.80,24.80,9.82,0.16,2
760000,20.80,24.80,9.83,0.16,2
780000,20.81,24.79,9.85,0.16,2
800000,20.80,24.80,9.85,0.16,2
820000,20.80,24.81,9.88,0.16,2
840000,20.80,24.79,9.88,0.16,2
860000,20.79,24.79,9.89,0.16,2
880000,20.80,24.70,9.91,0.16,2
900000,20.81,24.67,9.90,0.16,2
920000,20.83,24.66,9.91,0.16,2
940000,20.84,24.78,9.93,0.16,2
960000,20.07,36.40,8.65,0.16,2
980000,18.19,68.08,8.65,5.70,2
1000000,18.01,56.56,8.65,6.31,2
1020000,18.60,37.86,8.81,2.59,2
1040000,19.04,31.25,8.93,1.26,2
1060000,19.10,33.11,9.16,0.33,2
1080000,19.22,33.16,9.09,0.23,2
1100000,19.50,29.39,9.12,0.32,2
1120000,19.73,28.07,9.19,0.22,2
1140000,19.97,27.43,9.26,0.16,2
1160000,20.15,26.91,9.32,0.16,2
1180000,20.27,26.69,9.36,0.16,2
1200000,20.39,26.44,9.42,0.16,2
1220000,20.48,26.23,9.46,0.16,2
1240000,20.54,26.04,9.47,0.16,2
1260000,20.60,25.75,9.52,0.16,2
1280000,20.66,25.58,9.56,0.16,2
1300000,20.69,25.58,9.57,0.16,2
1320000,20.71,25.40,9.60,0.16,2
1340000,20.75,25.32,9.63,0.16,2
1360000,20.76,25.26,9.65,0.16,2
1380000,20.78,25.20,9.66,0.16,2
1400000,20.79,25.14,9.68,0.16,2
1420000,20.81,25.11,9.69,0.16,2
1440000,20.82,25.05,9.71,0.16,2
1460000,20.83,24.99,9.73,0.16,2
1480000,20.83,24.97,9.73,0.16,2
1500000,20.84,24.92,9.75,0.16,2
1520000,20.83,24.88,9.76,0.16,2
1540000,20.84,24.85,9.77,0.16,2
1560000,20.85,24.80,9.79,0.16,2
1580000,20.85,24.80,9.80,0.16,2
1600000,20.85,24.79,9.80,0.16,2
1620000,20.85,24.78,9.81,0.16,2
1640000,20.85,24.74,9.81,0.16,2
1660000,20.85,24.71,9.83,0.16,2
1680000,20.84,24.72,9.84,0.16,2
