time_ms,temp_c,humidity,gas_raw,bvoc,iaq,label
80000,20.40,22.39,9.95,0.50,2
20000,20.80,20.77,11.17,0.50,50.00,3
40000,20.48,21.41,10.04,0.50,50.00,3
60000,20.47,21.78,10.10,0.50,50.00,3
80000,20.50,21.83,10.13,0.50,50.00,3
100000,20.53,21.79,10.17,0.50,50.00,3
120000,20.54,21.68,10.19,0.50,50.00,3
140000,20.54,21.58,10.21,0.50,50.00,3
160000,20.54,21.48,10.23,0.50,50.00,3
180000,20.53,21.42,10.25,0.50,50.00,3
200000,20.53,21.43,10.25,0.50,50.00,3
220000,20.53,21.49,10.27,0.50,50.00,3
240000,20.53,21.59,10.28,0.50,50.00,3
260000,20.54,21.62,10.29,0.49,48.38,3
280000,20.53,21.56,10.30,0.48,46.47,3
300000,20.53,21.50,10.31,0.49,47.02,3
320000,20.53,21.44,10.31,0.48,46.21,3
340000,20.53,21.35,10.33,0.48,45.69,3
360000,20.54,21.28,10.33,0.48,45.22,3
380000,20.53,21.23,10.34,0.49,47.27,3
400000,20.53,21.17,10.35,0.50,49.96,3
420000,20.53,21.15,10.36,0.50,49.02,3
440000,20.52,21.13,10.36,0.50,50.00,3
460000,20.52,21.12,10.37,0.50,49.83,3
480000,20.52,21.12,10.37,0.50,50.00,3
500000,20.52,21.18,10.38,0.50,50.00,3
520000,20.52,21.25,10.37,0.50,50.76,3
540000,20.53,21.24,10.38,0.50,50.00,3
560000,20.53,21.19,10.39,0.50,49.99,3
580000,20.53,21.24,10.40,0.50,49.75,3
600000,20.53,21.22,10.39,0.50,50.75,3
620000,20.54,21.23,10.40,0.50,50.00,3
640000,20.56,21.33,10.40,0.50,50.00,3
660000,20.55,21.37,10.40,0.50,50.00,3
680000,20.56,23.04,10.34,0.61,70.88,3
700000,20.58,32.14,10.13,2.11,195.36,3
720000,20.60,38.60,9.99,5.50,269.30,3
740000,20.60,43.43,9.91,9.95,312.36,3
760000,20.60,46.43,9.87,12.22,319.52,3
780000,20.60,48.10,9.85,12.93,315.47,3
800000,20.60,49.46,9.84,12.47,303.07,3
820000,20.59,50.32,9.84,11.54,288.39,3
840000,20.58,50.85,9.85,10.71,275.91,3
860000,20.58,51.19,9.86,9.55,260.39,3
880000,20.57,51.39,9.86,8.63,246.71,3
900000,20.57,51.56,9.87,8.07,236.93,3
920000,20.55,51.78,9.88,7.22,224.08,3
940000,20.55,51.92,9.89,6.62,213.52,3
960000,20.54,52.00,9.89,6.18,205.27,3
980000,20.53,51.94,9.91,5.57,197.04,3
1000000,20.53,51.82,9.92,5.13,192.19,3
1020000,20.51,51.74,9.93,4.79,188.08,3
1040000,20.50,51.64,9.94,4.83,188.69,3
1060000,20.49,51.66,9.95,4.42,183.27,3
1080000,20.49,51.84,9.95,4.24,180.93,3
1100000,20.48,51.84,9.96,3.93,176.25,3
1120000,20.48,51.98,9.96,3.72,173.09,3
1140000,20.47,51.85,9.98,3.48,169.00,3
1160000,20.47,51.75,9.98,3.22,164.22,3
1180000,20.46,51.66,9.99,3.07,161.49,3
1200000,20.45,51.55,10.00,2.86,157.17,3
1220000,20.45,51.45,10.01,2.73,154.23,3
1240000,20.44,51.46,10.01,2.62,151.85,3
1260000,20.44,51.33,10.01,2.52,149.30,3
1280000,20.43,51.38,10.02,2.38,146.04,3
1300000,20.42,51.41,10.02,2.32,144.49,3
