time_ms,temp_c,humidity,gas_raw,bvoc,label
2020000,21.12,64.91,10.52,0.50,3
2040000,21.13,64.86,10.52,0.50,3
2060000,21.12,64.91,10.53,0.50,3
2080000,21.13,64.90,10.52,0.50,3
2100000,21.12,64.89,10.53,0.50,3
2120000,21.12,64.83,10.53,0.50,3
2140000,21.12,64.84,10.53,0.50,3
2160000,21.12,64.88,10.53,0.50,3
2180000,21.11,64.88,10.53,0.50,3
2200000,21.11,64.85,10.54,0.50,3
2220000,21.11,64.81,10.54,0.50,3
2240000,21.11,64.78,10.54,0.50,3
2260000,21.11,64.77,10.54,0.50,3
2280000,21.10,64.76,10.55,0.50,3
2300000,21.11,64.68,10.55,0.50,3
2320000,21.11,64.67,10.55,0.50,3
2340000,21.11,64.72,10.55,0.50,3
2360000,21.11,64.73,10.55,0.50,3
2380000,21.11,64.73,10.55,0.50,3
2400000,21.11,64.65,10.56,0.50,3
2420000,21.11,64.58,10.56,0.50,3
2440000,21.11,64.58,10.56,0.50,3
2460000,21.12,64.54,10.57,0.50,3
2480000,21.11,64.62,10.57,0.50,3
2500000,21.11,64.65,10.57,0.50,3
2520000,21.12,64.61,10.57,0.50,3
2540000,21.11,64.57,10.57,0.50,3
2560000,21.11,64.56,10.57,0.50,3
2580000,21.11,64.55,10.58,0.50,3
2600000,21.10,64.53,10.58,0.50,3
2620000,21.11,64.51,10.58,0.50,3
2640000,21.10,64.53,10.58,0.50,3
2660000,21.11,64.55,10.58,0.50,3
2680000,21.10,64.54,10.58,0.50,3
2700000,21.10,64.55,10.59,0.50,3
2720000,21.10,64.54,10.59,0.50,3
2740000,21.10,64.45,10.59,0.50,3
2760000,21.10,64.43,10.59,0.50,3
2780000,21.10,64.44,10.60,0.50,3
2800000,21.10,64.43,10.60,0.50,3
2820000,21.11,64.44,10.60,0.50,3
2840000,21.10,64.45,10.60,0.50,3
2860000,21.10,64.41,10.60,0.50,3
2880000,21.10,64.36,10.60,0.50,3
2900000,21.10,64.38,10.60,0.50,3
2920000,21.11,64.29,10.61,0.50,3
2940000,21.10,64.31,10.61,0.50,3
2960000,21.10,64.30,10.61,0.50,3
2980000,21.10,64.40,10.61,0.50,3
3000000,21.10,64.39,10.61,0.50,3
3020000,21.10,64.36,10.61,0.50,3
3040000,21.11,64.32,10.61,0.50,3
3060000,21.09,60.13,10.67,0.41,3
3080000,21.09,53.70,10.79,0.19,3
